Year,Period,Consumer Price Index,Over-the-Year Percent Change,CPI_MOM,Dates
1937,April,14.3,4.40%,0.70%,01-04-1937
1937,May,14.4,5.10%,0.70%,01-05-1937
1937,June,14.4,4.30%,0.00%,01-06-1937
1937,July,14.5,4.30%,0.70%,01-07-1937
1937,August,14.5,3.60%,0.00%,01-08-1937
1937,September,14.6,4.30%,0.70%,01-09-1937
1937,October,14.6,4.30%,0.00%,01-10-1937
1937,November,14.5,3.60%,-0.70%,01-11-1937
1937,December,14.4,2.90%,-0.70%,01-12-1937
1938,January,14.2,0.70%,-1.40%,01-01-1938
1938,February,14.1,0.00%,-0.70%,01-02-1938
1938,March,14.1,-0.70%,0.00%,01-03-1938
1938,April,14.2,-0.70%,0.70%,01-04-1938
1938,May,14.1,-2.10%,-0.70%,01-05-1938
1938,June,14.1,-2.10%,0.00%,01-06-1938
1938,July,14.1,-2.80%,0.00%,01-07-1938
1938,August,14.1,-2.80%,0.00%,01-08-1938
1938,September,14.1,-3.40%,0.00%,01-09-1938
1938,October,14,-4.10%,-0.70%,01-10-1938
1938,November,14,-3.40%,0.00%,01-11-1938
1938,December,14,-2.80%,0.00%,01-12-1938
1939,January,14,-1.40%,0.00%,01-01-1939
1939,February,13.9,-1.40%,-0.70%,01-02-1939
1939,March,13.9,-1.40%,0.00%,01-03-1939
1939,April,13.8,-2.80%,-0.70%,01-04-1939
1939,May,13.8,-2.10%,0.00%,01-05-1939
1939,June,13.8,-2.10%,0.00%,01-06-1939
1939,July,13.8,-2.10%,0.00%,01-07-1939
1939,August,13.8,-2.10%,0.00%,01-08-1939
1939,September,14.1,0.00%,2.20%,01-09-1939
1939,October,14,0.00%,-0.70%,01-10-1939
1939,November,14,0.00%,0.00%,01-11-1939
1939,December,14,0.00%,0.00%,01-12-1939
1940,January,13.9,-0.70%,-0.70%,01-01-1940
1940,February,14,0.70%,0.70%,01-02-1940
1940,March,14,0.70%,0.00%,01-03-1940
1940,April,14,1.40%,0.00%,01-04-1940
1940,May,14,1.40%,0.00%,01-05-1940
1940,June,14.1,2.20%,0.70%,01-06-1940
1940,July,14,1.40%,-0.70%,01-07-1940
1940,August,14,1.40%,0.00%,01-08-1940
1940,September,14,-0.70%,0.00%,01-09-1940
1940,October,14,0.00%,0.00%,01-10-1940
1940,November,14,0.00%,0.00%,01-11-1940
1940,December,14.1,0.70%,0.70%,01-12-1940
1941,January,14.1,1.40%,0.00%,01-01-1941
1941,February,14.1,0.70%,0.00%,01-02-1941
1941,March,14.2,1.40%,0.70%,01-03-1941
1941,April,14.3,2.10%,0.70%,01-04-1941
1941,May,14.4,2.90%,0.70%,01-05-1941
1941,June,14.7,4.30%,2.10%,01-06-1941
1941,July,14.7,5.00%,0.00%,01-07-1941
1941,August,14.9,6.40%,1.40%,01-08-1941
1941,September,15.1,7.90%,1.30%,01-09-1941
1941,October,15.3,9.30%,1.30%,01-10-1941
1941,November,15.4,10.00%,0.70%,01-11-1941
1941,December,15.5,9.90%,0.60%,01-12-1941
1942,January,15.7,11.30%,1.30%,01-01-1942
1942,February,15.8,12.10%,0.60%,01-02-1942
1942,March,16,12.70%,1.30%,01-03-1942
1942,April,16.1,12.60%,0.60%,01-04-1942
1942,May,16.3,13.20%,1.20%,01-05-1942
1942,June,16.3,10.90%,0.00%,01-06-1942
1942,July,16.4,11.60%,0.60%,01-07-1942
1942,August,16.5,10.70%,0.60%,01-08-1942
1942,September,16.5,9.30%,0.00%,01-09-1942
1942,October,16.7,9.20%,1.20%,01-10-1942
1942,November,16.8,9.10%,0.60%,01-11-1942
1942,December,16.9,9.00%,0.60%,01-12-1942
1943,January,16.9,7.60%,0.00%,01-01-1943
1943,February,16.9,7.00%,0.00%,01-02-1943
1943,March,17.2,7.50%,1.80%,01-03-1943
1943,April,17.4,8.10%,1.20%,01-04-1943
1943,May,17.5,7.40%,0.60%,01-05-1943
1943,June,17.5,7.40%,0.00%,01-06-1943
1943,July,17.4,6.10%,-0.60%,01-07-1943
1943,August,17.3,4.80%,-0.60%,01-08-1943
1943,September,17.4,5.50%,0.60%,01-09-1943
1943,October,17.4,4.20%,0.00%,01-10-1943
1943,November,17.4,3.60%,0.00%,01-11-1943
1943,December,17.4,3.00%,0.00%,01-12-1943
1944,January,17.4,3.00%,0.00%,01-01-1944
1944,February,17.4,3.00%,0.00%,01-02-1944
1944,March,17.4,1.20%,0.00%,01-03-1944
1944,April,17.5,0.60%,0.60%,01-04-1944
1944,May,17.5,0.00%,0.00%,01-05-1944
1944,June,17.6,0.60%,0.60%,01-06-1944
1944,July,17.7,1.70%,0.60%,01-07-1944
1944,August,17.7,2.30%,0.00%,01-08-1944
1944,September,17.7,1.70%,0.00%,01-09-1944
1944,October,17.7,1.70%,0.00%,01-10-1944
1944,November,17.7,1.70%,0.00%,01-11-1944
1944,December,17.8,2.30%,0.60%,01-12-1944
1945,January,17.8,2.30%,0.00%,01-01-1945
1945,February,17.8,2.30%,0.00%,01-02-1945
1945,March,17.8,2.30%,0.00%,01-03-1945
1945,April,17.8,1.70%,0.00%,01-04-1945
1945,May,17.9,2.30%,0.60%,01-05-1945
1945,June,18.1,2.80%,1.10%,01-06-1945
1945,July,18.1,2.30%,0.00%,01-07-1945
1945,August,18.1,2.30%,0.00%,01-08-1945
1945,September,18.1,2.30%,0.00%,01-09-1945
1945,October,18.1,2.30%,0.00%,01-10-1945
1945,November,18.1,2.30%,0.00%,01-11-1945
1945,December,18.2,2.20%,0.60%,01-12-1945
1946,January,18.2,2.20%,0.00%,01-01-1946
1946,February,18.1,1.70%,-0.50%,01-02-1946
1946,March,18.3,2.80%,1.10%,01-03-1946
1946,April,18.4,3.40%,0.50%,01-04-1946
1946,May,18.5,3.40%,0.50%,01-05-1946
1946,June,18.7,3.30%,1.10%,01-06-1946
1946,July,19.8,9.40%,5.90%,01-07-1946
1946,August,20.2,11.60%,2.00%,01-08-1946
1946,September,20.4,12.70%,1.00%,01-09-1946
1946,October,20.8,14.90%,2.00%,01-10-1946
1946,November,21.3,17.70%,2.40%,01-11-1946
1946,December,21.5,18.10%,0.90%,01-12-1946
1947,January,21.5,18.10%,0.00%,01-01-1947
1947,February,21.5,18.80%,0.00%,01-02-1947
1947,March,21.9,19.70%,1.90%,01-03-1947
1947,April,21.9,19.00%,0.00%,01-04-1947
1947,May,21.9,18.40%,0.00%,01-05-1947
1947,June,22,17.60%,0.50%,01-06-1947
1947,July,22.2,12.10%,0.90%,01-07-1947
1947,August,22.5,11.40%,1.40%,01-08-1947
1947,September,23,12.70%,2.20%,01-09-1947
1947,October,23,10.60%,0.00%,01-10-1947
1947,November,23.1,8.50%,0.40%,01-11-1947
1947,December,23.4,8.80%,1.30%,01-12-1947
1948,January,23.7,10.20%,1.30%,01-01-1948
1948,February,23.5,9.30%,-0.80%,01-02-1948
1948,March,23.4,6.80%,-0.40%,01-03-1948
1948,April,23.8,8.70%,1.70%,01-04-1948
1948,May,23.9,9.10%,0.40%,01-05-1948
